Helpful,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,1552,44.77,45.77,55,52.04,16.17,15.01,85.57,72.36,58.83,18.11,11.21,4.51,0.19,5.15,0,1.22,6.89,17.72,8.44,1.16,13.27,10.05,4.64,5.22,2,17.78,6.12,3.87,1.74,0.39,0.84,0.52,12.5,0.9,11.6,1.29,1.68,1.74,2.64,0.19,4.9,0.13,3.22,2.58,0.52,1.03,0.58,0.32,0,0.19,0,0,8.31,0.97,0.06,0,0.13,0,0.71,7.02,0.06,0,0,0,3.93,0,0,3.93,3.29,0.9,0.64,0.97,0.97,0,0.26,0.13,0.06,0,0,0,0,0,0,0.32,0.26,0.9,0.13,0.06,0,0,0,0.32,5.73,9.66,0.58,1.48,5.8,1.61,0.71,0.32,2.58,3.22,6.51,1.35,0.26,0,0.26,0,0,16.49,7.02,4.19,0,0,3.35,1.93,0
1,1,116,35.24,1,73.33,60.88,16.57,25.86,89.66,73.28,58.62,15.52,5.17,5.17,0,0,0,0,10.34,17.24,10.34,8.62,6.9,10.34,2.59,7.76,2.59,19.83,7.76,7.76,0.86,0,0.86,0,18.97,0,18.97,4.31,5.17,2.59,1.72,0.86,6.9,0,2.59,2.59,0,0.86,0.86,0,0,0,0,0,1.72,1.72,0.86,0,0,0,0.86,0,0,0,0,0,0.86,0,0,0.86,3.45,0.86,0,0,2.59,0,0.86,0.86,0,0.86,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,4.31,6.03,0.86,0,0.86,5.17,0,0,6.9,10.34,3.45,0,0,0,0,0,0,6.9,6.03,0,0,0,0.86,0,0
1,1,60,4.95,1.24,74.02,45.29,12,5,81.67,76.67,58.33,23.33,15,13.33,0,0,0,1.67,8.33,15,3.33,3.33,6.67,8.33,6.67,10,0,23.33,6.67,6.67,0,0,0,0,10,1.67,8.33,0,3.33,1.67,1.67,0,1.67,0,1.67,1.67,0,1.67,1.67,0,0,0,0,0,6.67,3.33,0,0,0,0,1.67,1.67,0,0,0,0,0,0,0,0,3.33,0,0,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,3.33,3.33,0,3.33,0,0,0,0,5,11.67,1.67,6.67,1.67,1.67,0,0,0,10,8.33,1.67,0,0,0,0,0
1,1,224,76.24,32.53,24.32,54.92,18.67,17.41,82.59,70.98,56.25,10.71,6.7,4.02,0,2.23,0,0,4.02,20.09,14.29,3.57,11.61,10.27,4.91,7.14,0,17.86,8.04,5.8,1.34,0.45,0,0.89,10.27,0,10.27,1.34,3.13,1.79,1.79,1.34,2.23,0,3.13,2.68,0.45,0.89,0.45,0.45,0,0,0,0,4.02,1.34,0,0.45,0,0.45,0.45,2.68,0,0,0,0,0,0,0,0,3.57,2.68,0,0.45,0.45,0,0.89,0.45,0,0,0,0,0,0,0,1.34,0,0.89,0,0,0.45,0,0,0,7.14,8.04,0.89,1.79,3.13,2.68,0,0,3.57,4.46,6.25,0,0.45,0,0.45,0,0,14.73,7.14,2.68,0,0,2.68,2.23,0
1,1,211,37.24,6.24,49.2,78.62,14.07,10.43,87.68,70.62,58.29,16.59,8.53,6.16,0,1.9,0,0,8.06,12.32,8.53,4.74,11.85,7.58,7.11,7.11,2.84,12.8,7.58,4.27,1.9,0.47,0.95,0.47,9,0.47,8.53,0.47,0,0.95,1.9,0.95,4.27,0,5.21,4.27,0.47,0.47,0,0,0,0,0,0,4.74,1.42,0.47,0,0.47,0,0.47,2.84,0,0,0,0,0.47,0,0,0.47,6.64,2.37,0,1.9,2.37,0,0.47,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0,0,0,0,0.47,6.16,10.43,0.47,1.9,4.27,3.79,0,0.95,1.9,4.27,6.64,0.47,1.42,0.47,0.95,0,0,15.17,6.64,1.42,0,0.47,3.32,3.32,0
1,1,181,81.01,6.7,66.34,54.56,25.86,17.13,91.71,69.06,56.91,12.71,8.29,6.08,0,2.21,0,0,4.42,18.78,7.73,4.97,18.23,7.73,4.42,5.52,0.55,17.68,6.63,7.18,0.55,0,0.55,0,12.71,1.1,11.05,1.1,1.1,2.76,2.21,0,6.08,0,2.21,2.21,0,0,0,0,0,0,0,0,4.42,1.1,0.55,0,0,0,0.55,2.21,0,0,0,0,2.76,0,0,2.76,11.05,1.66,0,7.18,2.21,0,0,0,0,0,0,0,0,0,0,5.52,1.1,1.66,0,0,0,0,1.1,0,6.63,8.84,0,1.1,7.18,0.55,0,0,1.66,5.52,2.21,1.1,0,0,0,0,0,11.6,6.08,1.66,0,0,0.55,3.31,0
1,1,211,37.24,6.24,49.2,78.62,14.07,10.43,87.68,70.62,58.29,16.59,8.53,6.16,0,1.9,0,0,8.06,12.32,8.53,4.74,11.85,7.58,7.11,7.11,2.84,12.8,7.58,4.27,1.9,0.47,0.95,0.47,9,0.47,8.53,0.47,0,0.95,1.9,0.95,4.27,0,5.21,4.27,0.47,0.47,0,0,0,0,0,0,4.74,1.42,0.47,0,0.47,0,0.47,2.84,0,0,0,0,0.47,0,0,0.47,6.64,2.37,0,1.9,2.37,0,0.47,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0,0,0,0,0.47,6.16,10.43,0.47,1.9,4.27,3.79,0,0.95,1.9,4.27,6.64,0.47,1.42,0.47,0.95,0,0,15.17,6.64,1.42,0,0.47,3.32,3.32,0
1,1,59,43.72,6.34,65.66,91.11,19.67,10.17,88.14,79.66,64.41,15.25,10.17,6.78,0,1.69,0,1.69,5.08,23.73,6.78,0,15.25,6.78,6.78,10.17,1.69,13.56,8.47,23.73,5.08,0,5.08,0,8.47,0,6.78,1.69,0,0,1.69,0,5.08,0,5.08,5.08,0,1.69,1.69,0,0,0,0,0,5.08,1.69,0,0,0,0,0,3.39,0,0,0,0,1.69,0,0,1.69,1.69,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,3.39,6.78,1.69,1.69,5.08,1.69,0,0,0,1.69,8.47,1.69,0,0,0,0,0,11.86,5.08,5.08,0,0,1.69,0,0
1,1,181,81.01,6.7,66.34,54.56,25.86,17.13,91.71,69.06,56.91,12.71,8.29,6.08,0,2.21,0,0,4.42,18.78,7.73,4.97,18.23,7.73,4.42,5.52,0.55,17.68,6.63,7.18,0.55,0,0.55,0,12.71,1.1,11.05,1.1,1.1,2.76,2.21,0,6.08,0,2.21,2.21,0,0,0,0,0,0,0,0,4.42,1.1,0.55,0,0,0,0.55,2.21,0,0,0,0,2.76,0,0,2.76,11.05,1.66,0,7.18,2.21,0,0,0,0,0,0,0,0,0,0,5.52,1.1,1.66,0,0,0,0,1.1,0,6.63,8.84,0,1.1,7.18,0.55,0,0,1.66,5.52,2.21,1.1,0,0,0,0,0,11.6,6.08,1.66,0,0,0.55,3.31,0
1,1,181,81.01,6.7,66.34,54.56,25.86,17.13,91.71,69.06,56.91,12.71,8.29,6.08,0,2.21,0,0,4.42,18.78,7.73,4.97,18.23,7.73,4.42,5.52,0.55,17.68,6.63,7.18,0.55,0,0.55,0,12.71,1.1,11.05,1.1,1.1,2.76,2.21,0,6.08,0,2.21,2.21,0,0,0,0,0,0,0,0,4.42,1.1,0.55,0,0,0,0.55,2.21,0,0,0,0,2.76,0,0,2.76,11.05,1.66,0,7.18,2.21,0,0,0,0,0,0,0,0,0,0,5.52,1.1,1.66,0,0,0,0,1.1,0,6.63,8.84,0,1.1,7.18,0.55,0,0,1.66,5.52,2.21,1.1,0,0,0,0,0,11.6,6.08,1.66,0,0,0.55,3.31,0
1,1,668,60.58,24.82,79.22,35.04,21.55,16.47,85.18,70.81,58.23,11.68,4.79,1.95,0,2.1,0,0.75,6.89,16.77,8.53,2.4,15.42,8.98,8.23,6.59,1.5,14.07,7.34,6.14,2.84,0.6,1.35,0.9,14.97,1.2,13.62,3.14,1.65,0.9,2.54,1.95,4.94,0,2.25,1.65,0.6,0.45,0,0.45,0,0.15,0,0,4.34,0.9,0.3,0,0.3,0.15,0.15,3.44,0,0,0,0,0.45,0,0,0.45,2.1,0.75,0,0.75,0.6,0,1.35,0.3,0,0,0.15,0,0,0,0,0.6,0,0.45,0.45,0,0.15,0,0.15,0,5.69,11.08,0.15,1.5,7.49,1.8,0.15,0.3,4.49,2.54,6.59,0.6,0,0,0,0,0,17.07,4.94,4.64,0.3,0.3,3.14,3.74,0
1,1,668,60.58,24.82,79.22,35.04,21.55,16.47,85.18,70.81,58.23,11.68,4.79,1.95,0,2.1,0,0.75,6.89,16.77,8.53,2.4,15.42,8.98,8.23,6.59,1.5,14.07,7.34,6.14,2.84,0.6,1.35,0.9,14.97,1.2,13.62,3.14,1.65,0.9,2.54,1.95,4.94,0,2.25,1.65,0.6,0.45,0,0.45,0,0.15,0,0,4.34,0.9,0.3,0,0.3,0.15,0.15,3.44,0,0,0,0,0.45,0,0,0.45,2.1,0.75,0,0.75,0.6,0,1.35,0.3,0,0,0.15,0,0,0,0,0.6,0,0.45,0.45,0,0.15,0,0.15,0,5.69,11.08,0.15,1.5,7.49,1.8,0.15,0.3,4.49,2.54,6.59,0.6,0,0,0,0,0,17.07,4.94,4.64,0.3,0.3,3.14,3.74,0
1,1,31,84.4,40.06,99,97.31,10.33,9.68,87.1,74.19,45.16,0,0,0,0,0,0,0,0,6.45,3.23,0,19.35,0,16.13,9.68,0,9.68,12.9,9.68,0,0,0,0,16.13,0,16.13,6.45,0,0,9.68,0,3.23,3.23,6.45,6.45,0,6.45,6.45,0,0,0,0,0,3.23,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,16.13,0,6.45,9.68,0,0,0,16.13,9.68,6.45,0,3.23,3.23,0,0,0,9.68,9.68,0,0,0,0,0,0
1,1,190,45.95,1,76.52,35.11,14.62,15.79,84.21,67.89,57.37,15.79,8.42,7.37,1.05,0,0,0,7.37,16.84,8.42,2.63,11.58,8.42,2.63,7.37,3.68,15.26,2.63,3.68,3.68,1.05,1.58,1.05,15.79,2.63,13.16,1.58,2.63,2.63,2.11,0,6.32,0,1.05,1.05,0,0.53,0.53,0,0,0,0,0,3.68,2.63,0,0,0,0,1.05,1.05,0,0,0,0,3.68,0,0,3.68,5.79,2.11,0,2.63,1.58,0,0,0,0,0,0,0,0,0,0,1.05,0.53,1.05,0,0,0,0,0,0.53,7.89,6.32,0,1.58,4.21,1.05,0,0,3.68,4.74,3.68,1.05,0,0,0,0,0,23.68,10.53,6.84,0,0,3.16,3.16,0
1,1,80,78.28,40.06,21.38,99,13.33,10,90,57.5,47.5,11.25,8.75,7.5,0,0,0,1.25,2.5,8.75,6.25,3.75,13.75,3.75,1.25,10,0,7.5,3.75,3.75,1.25,1.25,0,0,2.5,0,2.5,1.25,0,1.25,0,0,0,0,10,10,0,6.25,6.25,0,0,0,0,0,13.75,6.25,0,0,0,0,0,7.5,0,0,0,0,3.75,0,0,3.75,6.25,2.5,0,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.5,0,15,3.75,0,1.25,1.25,1.25,0,0,3.75,3.75,2.5,0,0,0,0,0,0,15,8.75,3.75,0,0,1.25,1.25,0
1,1,100,21.43,40.06,1.46,98.42,12.5,11,89,70,55,17,13,5,0,0,8,0,4,16,6,1,10,12,5,8,1,18,6,6,2,1,1,0,14,0,14,1,4,2,2,2,3,0,8,7,0,3,2,0,0,0,0,0,15,6,0,0,0,0,5,9,1,0,9,0,5,0,0,5,9,3,0,2,5,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,10,8,3,1,3,2,0,1,3,4,7,2,0,0,0,0,0,19,7,8,0,1,3,0,0
1,1,80,78.28,40.06,21.38,99,13.33,10,90,57.5,47.5,11.25,8.75,7.5,0,0,0,1.25,2.5,8.75,6.25,3.75,13.75,3.75,1.25,10,0,7.5,3.75,3.75,1.25,1.25,0,0,2.5,0,2.5,1.25,0,1.25,0,0,0,0,10,10,0,6.25,6.25,0,0,0,0,0,13.75,6.25,0,0,0,0,0,7.5,0,0,0,0,3.75,0,0,3.75,6.25,2.5,0,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.5,0,15,3.75,0,1.25,1.25,1.25,0,0,3.75,3.75,2.5,0,0,0,0,0,0,15,8.75,3.75,0,0,1.25,1.25,0
1,1,127,25.62,44.72,12.61,31.01,14.11,18.11,85.04,65.35,55.91,19.69,9.45,3.15,0,5.51,0,0.79,10.24,20.47,4.72,0.79,10.24,9.45,3.15,3.94,3.94,14.96,7.87,3.15,0.79,0,0.79,0,14.96,3.15,11.81,0.79,2.36,3.15,3.15,0,3.94,0,2.36,1.57,0.79,1.57,0.79,0.79,0,0,0,0,7.09,1.57,0,0,0,0,0.79,6.3,0,0,0,0,2.36,0,0,2.36,8.66,4.72,0,2.36,1.57,0,1.57,0.79,0,0,0,0,0,0,0,0,0,1.57,0,0.79,0.79,0,0,0,9.45,9.45,1.57,0,5.51,1.57,0.79,0,1.57,2.36,5.51,0,0.79,0.79,0,0,0,13.39,9.45,2.36,0,0.79,0.79,0,0
1,1,551,82.26,39.01,24.61,54.03,16.21,14.88,84.75,60.8,47.01,9.44,6.53,2.72,0,3.45,0,0.36,2.9,13.97,7.62,6.72,13.61,6.35,4.54,4.36,0.91,13.07,7.62,5.44,2.9,0.18,1.45,1.27,11.98,0.73,11.07,1.45,0.91,2.36,2.72,1.27,3.99,0,2.54,2.36,0.18,0.73,0.54,0.18,0,0,0,0,6.9,2.72,0.36,0,0,0,1.45,3.99,0,0,0,0,0.73,0.36,0,0.36,3.63,1.09,0.54,1.45,0.54,0,0.73,0.18,0,0,0.18,0,0,0.18,0,0,0.18,0.54,0,0,0,0.18,0.54,0.54,6.35,16.15,0.73,1.27,5.26,3.63,4.9,0.36,2,1.45,4.36,0.91,0,0,0,0,0,23.05,4.72,5.44,0,2.18,0.18,10.53,0
